,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
4,ILLES BALEARS,2642.0,1,0.3444444444444444,5.477777777777778,3.022222222222222,1007.5699999999999,6.859999999999999
6,TARRAGONA,4809.0,1,0.0,4.9,2.5,1006.95,8.55
10,CADIZ,1562.0,1,4.928571428571429,7.742857142857143,3.8857142857142857,984.6499999999999,5.75
14,MALAGA,4683.0,1,2.2,9.9,1.75,992.72,3.7
16,CANTABRIA,3908.0,1,1.957142857142857,13.8,5.342857142857143,984.91,1.8333333333333333
18,TARRAGONA,5395.0,1,0.4,11.7,5.0,1001.5,7.95
19,SANTA CRUZ DE TENERIFE,11226.0,1,0.03,17.66,4.279999999999999,986.4200000000001,7.333333333333333
21,GIPUZKOA,5849.0,1,1.1666666666666667,9.983333333333334,2.65,1003.95,4.8
22,CANTABRIA,971.0,1,0.0,10.2,3.7142857142857135,1004.06,9.633333333333333
23,MALAGA,15667.0,1,0.0,16.1,5.316666666666666,1016.3166666666667,5.4
24,CADIZ,14696.0,1,3.0,16.642857142857142,6.214285714285714,991.3857142857142,5.5
25,MALAGA,16519.0,2,2.608333333333334,17.28,2.9916666666666667,1002.2958333333331,1.1
26,SANTA CRUZ DE TENERIFE,3407.0,1,0.02,19.325,7.022222222222222,976.3187499999999,7.933333333333333
27,ILLES BALEARS,2556.0,1,4.32,25.130000000000003,3.055555555555556,1005.9083333333334,9.383333333333333
29,ILLES BALEARS,3036.0,1,3.11,13.09,10.3,1013.4214285714286,0.15
30,VALENCIA,19335.0,2,0.0,14.116666666666667,2.5700000000000003,982.9083333333333,9.3
31,CASTELLON,7745.0,1,0.175,9.9,3.45,950.6,2.6
32,TARRAGONA,8705.0,1,1.25,14.25,4.15,1009.55,1.15
38,CANTABRIA,1759.0,1,12.1,7.75,6.5,996.81,1.0666666666666669
39,SANTA CRUZ DE TENERIFE,23931.0,1,0.11,17.4,3.25,981.405,6.883333333333333
40,PONTEVEDRA,7980.0,1,6.9,14.55,6.1000000000000005,989.7249999999999,0.15
