,provincia,SCRI
0,A CORUNA,2.5
1,ALICANTE,2.0
2,ALMERIA,3.0
3,ASTURIAS,2.0
4,BARCELONA,2.0
5,CADIZ,1.8
6,CANTABRIA,1.0
7,CASTELLON,1.6666666666666667
8,GIPUZKOA,1.0
9,GIRONA,2.0
10,ILLES BALEARS,1.5
11,MALAGA,1.6666666666666667
12,PONTEVEDRA,1.5
13,SANTA CRUZ DE TENERIFE,1.0
14,TARRAGONA,1.6
15,VALENCIA,1.5
