,provincia,SCRI_FLOOD,SCRI_WINDSTORM,SCRI_SEASTORM
0,A CORUNA,1,1.307692308,2.5
1,ALBACETE,1,1,1.733333333
2,ALICANTE,1,1.428571429,2
3,ALMERIA,1,1,3
4,ARABA,1,1,1.733333333
5,ASTURIAS,1,1.037037037,2
6,AVILA,1.090909091,1,1.733333333
7,BADAJOZ,1.038461538,1.124578922,1.733333333
8,BARCELONA,1,1.285714286,2
9,BIZKAIA,1.090909091,1,1.733333333
10,BURGOS,1,1.071428571,1.733333333
11,CACERES,1,1,1.733333333
12,CADIZ,1.03030303,1.124578922,1.8
13,CANTABRIA,1.02,1.055555556,1
14,CASTELLON,1.058823529,1,1.666666667
15,CEUTA,1,1.124578922,1.733333333
16,CIUDAD REAL,1,1.124578922,1.733333333
17,CORDOBA,1,1.124578922,1.733333333
18,CUENCA,1,1,1.733333333
19,GIPUZKOA,1,1,1
20,GIRONA,1,1,2
21,GRANADA,1,1,1.733333333
22,GUADALAJARA,1,1,1.733333333
23,HUELVA,1.090909091,1.124578922,1.733333333
24,HUESCA,1,1,1.733333333
25,ILLES BALEARS,1,1.384615385,1.5
26,JAEN,1,1.124578922,1.733333333
27,LA RIOJA,1,1,1.733333333
28,LAS PALMAS,1,1.124578922,1.733333333
29,LEON,1,1,1.733333333
30,LLEIDA,1,1.181818182,1.733333333
31,LUGO,1,1,1.733333333
32,MADRID,1.013513514,1.166666667,1.733333333
33,MALAGA,1.034482759,1.124578922,1.666666667
34,MELILLA,1,1.124578922,1.733333333
35,MURCIA,1,1.333333333,1.733333333
36,NAVARRA,1.125,1,1.733333333
37,OURENSE,1,1,1.733333333
38,PALENCIA,1,1,1.733333333
39,PONTEVEDRA,1,1.363636364,1.5
40,SALAMANCA,1,1,1.733333333
41,SANTA CRUZ DE TENERIFE,1,1,1
42,SEGOVIA,1,1,1.733333333
43,SEVILLA,1.04,1.124578922,1.733333333
44,SORIA,1,1,1.733333333
45,TARRAGONA,1.025,1.125,1.6
46,TERUEL,1,1,1.733333333
47,TOLEDO,1.035714286,2,1.733333333
48,VALENCIA,1.051282051,1.666666667,1.5
49,VALLADOLID,1,1.5,1.733333333
50,ZAMORA,1,1,1.733333333
51,ZARAGOZA,1.066666667,1.2,1.733333333
,,,,
