,provincia,SCRI
0,A CORUNA,1.75
1,ALICANTE,2.3333333333333335
2,ALMERIA,2.0
3,ASTURIAS,2.0
4,BARCELONA,2.3333333333333335
5,BIZKAIA,2.0
6,CADIZ,2.0
7,CANTABRIA,2.0
8,CASTELLON,2.0
9,GIPUZKOA,2.0
10,GIRONA,1.875
11,HUELVA,2.0
12,ILLES BALEARS,2.0833333333333335
13,MALAGA,2.0
14,MURCIA,2.0
15,PONTEVEDRA,2.0
16,SANTA CRUZ DE TENERIFE,2.0
17,TARRAGONA,2.3
18,VALENCIA,1.8333333333333333
