,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
2,ALICANTE,1362.0,1,0.125,9.2,2.1,1019.4000000000001,8.933333333333332
3,ALMERIA,200.0,1,0.0,10.625,1.25,989.8,8.4
4,ARABA,118.0,1,0.0,3.2,4.05,959.825,7.9
5,ASTURIAS,23323.0,1,0.2909090909090909,8.563636363636364,2.85,979.525,3.675
6,AVILA,105.0,1,0.6,4.300000000000001,1.65,891.25,6.1
7,BARCELONA,2187.0,1,0.0,8.916666666666666,3.1,995.4166666666667,7.133333333333333
8,BIZKAIA,27980.0,1,0.0,11.133333333333333,5.575,1003.8500000000001,7.0
9,BURGOS,2636.0,1,0.12,2.525,1.6,924.125,5.7
10,CACERES,43.0,1,10.58,5.76,1.6799999999999995,979.9,5.766666666666667
12,CUENCA,2782.0,1,0.0,3.275,1.65,923.8375000000001,7.95
13,GIPUZKOA,1010.0,1,0.0166666666666666,9.666666666666666,5.666666666666667,998.0899999999999,7.7
14,ILLES BALEARS,12984.0,1,0.0111111111111111,9.4,2.6,1021.31,6.16
15,LEON,5669.0,1,2.2666666666666666,0.375,2.5,904.7625,1.1666666666666667
16,LLEIDA,54.0,1,0.0333333333333333,2.55,0.7,964.2,6.9
17,LUGO,15335.0,1,0.4,6.6,3.1,962.25,1.2
18,MADRID,8408.0,1,0.0615384615384615,2.0615384615384618,1.65,915.6400000000001,6.783333333333334
19,MURCIA,570.0,1,0.01,8.92,1.5555555555555556,995.9749999999999,7.1000000000000005
20,NAVARRA,1146.0,1,0.0,4.92,1.05,976.75,8.5
21,OURENSE,1486.0,1,8.55,4.9,2.875,959.0999999999999,1.2999999999999998
23,SALAMANCA,2217.0,1,0.1,3.5250000000000004,3.625,932.5875,5.2
24,SEGOVIA,2215.0,1,0.2,4.9,3.3,862.875,6.15
25,VALENCIA,5186.0,1,0.0,8.785714285714286,1.16,988.2,9.075
26,VALLADOLID,775.0,1,0.05,1.75,1.65,928.7,3.7
27,ZARAGOZA,7749.0,1,0.0,3.22,1.6,967.575,6.575
29,ALICANTE,11165.0,1,1.175,7.899999999999999,1.7499999999999998,1011.9000000000001,0.6333333333333334
30,ALMERIA,35.0,1,0.0,11.04,3.66,989.96,3.1
31,ARABA,1124.0,1,0.1,7.75,5.0,949.15,1.35
33,BARCELONA,8005.0,1,0.0,9.866666666666667,2.766666666666667,986.9166666666667,0.5333333333333333
35,BURGOS,32950.0,1,1.44,4.5,5.8,913.4375,0.725
36,CACERES,534.0,1,4.94,9.86,4.12,970.5875,0.8333333333333334
38,CUENCA,158.0,1,8.333333333333334,1.7,2.5,915.925,0.0
39,GIPUZKOA,1519.0,1,0.0,12.483333333333334,7.683333333333334,986.02,0.9333333333333332
40,GRANADA,45.0,1,4.733333333333333,5.066666666666666,2.95,938.0666666666666,1.0666666666666669
41,HUESCA,341.0,1,10.325,3.9,2.35,914.7166666666666,1.3666666666666665
42,ILLES BALEARS,17373.0,1,0.0,11.144444444444444,4.188888888888889,1013.5,2.98
43,LA RIOJA,359.0,1,0.1,8.2,3.9,966.8,1.3
44,LEON,7275.0,1,3.866666666666666,4.175,4.65,893.0375,0.4333333333333333
45,LLEIDA,616.0,1,1.1333333333333333,3.7,0.975,955.9,2.5
47,MADRID,19210.0,1,4.630769230769231,1.9615384615384608,2.92,906.9300000000001,0.35
48,MURCIA,2551.0,1,0.36,7.83,1.2888888888888888,988.675,0.9285714285714286
50,OURENSE,12151.0,1,20.95,8.25,2.925,947.125,0.3
51,PALENCIA,627.0,1,10.8,3.2,6.95,895.125,0.0
53,SALAMANCA,945.0,1,7.8,8.375,7.175,922.5875,1.5666666666666669
54,SEGOVIA,4363.0,1,5.9,3.5,7.8,854.0,1.55
55,SORIA,1610.0,1,4.6,2.0,3.9,887.6,2.1
56,VALENCIA,15964.0,1,0.6714285714285715,6.828571428571428,1.8,980.3166666666667,1.0
57,ZARAGOZA,3020.0,1,0.7,4.86,3.72,958.3875,0.55
59,ALBACETE,1392.0,1,0.15,8.075,4.0,933.1875,5.9
60,ALICANTE,27126.0,1,0.0,13.125,3.275,1010.0333333333333,7.899999999999999
61,ALMERIA,1592.0,1,0.0,13.56,5.9,989.74,8.2
62,ARABA,10610.0,1,4.1,11.25,8.1,946.025,0.15
64,AVILA,233.0,1,3.2,8.25,3.1,882.5,3.2
67,BURGOS,15145.0,1,6.76,8.375,5.85,912.25,0.625
68,CACERES,1390.0,1,13.2,11.46,3.78,971.925,0.1666666666666666
69,CANTABRIA,16764.0,1,4.6571428571428575,12.9,4.433333333333334,978.5799999999999,4.066666666666666
70,CASTELLON,810.0,1,0.0,10.066666666666668,3.6,945.175,7.550000000000001
71,CUENCA,1221.0,1,14.533333333333331,6.725,4.433333333333334,915.55,1.05
72,GIPUZKOA,6431.0,1,3.0,14.416666666666666,5.466666666666668,984.52,0.5666666666666667
73,GRANADA,4655.0,1,0.7333333333333334,10.066666666666666,3.266666666666666,940.1333333333334,1.1
74,GUADALAJARA,69.0,1,5.8,6.6000000000000005,4.533333333333333,909.2750000000001,0.1333333333333333
75,HUESCA,1274.0,1,23.625,4.85,1.525,911.4166666666667,0.9
77,LA RIOJA,6359.0,1,2.1,7.6,1.4,964.7,1.3
79,LLEIDA,19085.0,1,3.1666666666666665,5.525,1.35,952.5,0.95
82,MURCIA,17831.0,1,0.02,12.55,2.822222222222222,987.9166666666666,7.6
83,NAVARRA,933.0,1,3.02,10.32,4.4,963.55,0.0
87,SALAMANCA,4677.0,1,5.875,9.15,6.575,923.05,2.7
88,SEGOVIA,10648.0,1,4.7,4.9,5.6,854.525,1.2000000000000002
89,SORIA,11264.0,1,15.6,5.6,5.3,886.3,0.0
90,TERUEL,748.0,1,0.9,7.975,3.0,925.1333333333334,4.066666666666666
92,VALLADOLID,8959.0,1,7.95,8.2,6.25,917.375,0.05
93,ZAMORA,2122.0,1,17.333333333333332,9.0,5.0,921.1166666666667,0.8666666666666667
96,ALBACETE,20616.0,1,2.725,8.15,6.175,929.4124999999999,1.85
99,ARABA,30761.0,1,2.45,6.3,4.2,944.85,2.55
100,ASTURIAS,22482.0,1,3.463636363636364,8.054545454545455,5.05,968.9375,4.1
101,AVILA,10357.0,1,0.3,6.55,4.4,882.1,1.5
105,CACERES,3308.0,1,1.62,9.32,4.7,972.6375,3.633333333333333
106,CANTABRIA,19990.0,1,5.528571428571429,9.55714285714286,7.466666666666666,979.72,1.2
107,CASTELLON,14860.0,1,1.5,9.166666666666666,7.5,939.825,6.75
108,CUENCA,9749.0,1,1.3,6.25,8.299999999999999,912.4000000000001,1.4
109,GIPUZKOA,2067.0,1,16.95,11.1,5.133333333333334,983.75,0.0999999999999999
110,GRANADA,1778.0,1,0.5,10.3,6.5,945.675,5.949999999999999
116,LUGO,19423.0,1,4.4,7.8,3.1,953.85,2.6
119,NAVARRA,6439.0,1,8.48,7.540000000000001,4.300000000000001,960.525,1.9
121,PALENCIA,7300.0,1,0.2,4.566666666666666,5.266666666666667,893.05,5.9
123,SALAMANCA,9616.0,1,3.35,7.274999999999999,6.8,923.8,1.0
126,TARRAGONA,399.0,1,4.1,11.5,8.2,996.975,5.65
127,TERUEL,28229.0,1,1.35,7.125,6.025,921.3000000000001,5.666666666666667
