,provincia,SCRI
0,A CORUNA,1.3076923076923077
1,ALBACETE,1.0
2,ALICANTE,1.4285714285714286
3,ALMERIA,1.0
4,ARABA,1.0
5,ASTURIAS,1.037037037037037
6,AVILA,1.0
7,BARCELONA,1.2857142857142858
8,BIZKAIA,1.0
9,BURGOS,1.0714285714285714
10,CACERES,1.0
11,CANTABRIA,1.0555555555555556
12,CASTELLON,1.0
13,CUENCA,1.0
14,GIPUZKOA,1.0
15,GIRONA,1.0
16,GRANADA,1.0
17,GUADALAJARA,1.0
18,HUESCA,1.0
19,ILLES BALEARS,1.3846153846153846
20,LA RIOJA,1.0
21,LEON,1.0
22,LLEIDA,1.1818181818181819
23,LUGO,1.0
24,MADRID,1.1666666666666667
25,MURCIA,1.3333333333333333
26,NAVARRA,1.0
27,OURENSE,1.0
28,PALENCIA,1.0
29,PONTEVEDRA,1.3636363636363635
30,SALAMANCA,1.0
31,SANTA CRUZ DE TENERIFE,1.0
32,SEGOVIA,1.0
33,SORIA,1.0
34,TARRAGONA,1.125
35,TERUEL,1.0
36,TOLEDO,2.0
37,VALENCIA,1.6666666666666667
38,VALLADOLID,1.5
39,ZAMORA,1.0
40,ZARAGOZA,1.2
