,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
0,SANTA CRUZ DE TENERIFE,58772.0,2,7.92,18.935,5.8125,969.0975,4.846666666666667
1,A CORUNA,46990.0,1,17.49375,10.3875,8.274999999999999,986.235,0.1999999999999999
11,CANTABRIA,52123.0,1,0.5,9.085714285714284,5.2,992.16,6.266666666666667
22,PONTEVEDRA,59325.0,1,23.5,8.8,5.449999999999999,993.15,0.7
28,A CORUNA,4412.0,1,27.2375,11.925,10.2125,981.74,2.25
32,ASTURIAS,46025.0,1,1.5909090909090908,12.136363636363637,5.344444444444445,966.08125,3.3125
34,BIZKAIA,81848.0,1,0.075,13.933333333333332,3.825,991.2166666666667,0.4
46,LUGO,62536.0,1,19.8,9.2,4.4,949.75,0.0
49,NAVARRA,36661.0,1,0.06,9.08,5.825,966.825,1.4
58,A CORUNA,116219.0,1,7.4625,9.8375,5.3625,985.26,4.0200000000000005
63,ASTURIAS,94484.0,1,15.636363636363637,11.890909090909092,6.3375,966.9124999999999,4.6125
65,BARCELONA,96659.0,1,0.2333333333333333,10.666666666666666,2.733333333333333,982.4666666666667,4.533333333333333
66,BIZKAIA,92021.0,1,4.825,15.666666666666666,5.975,990.0833333333334,2.0
78,LEON,24807.0,1,12.8,7.45,5.550000000000001,891.425,1.7999999999999998
80,LUGO,15592.0,1,40.0,10.0,6.7,951.35,2.7
81,MADRID,87570.0,1,4.2846153846153845,6.346153846153846,4.98,905.995,0.75
84,OURENSE,43661.0,1,21.3,10.325,3.6,946.675,3.4
85,PALENCIA,509.0,1,23.8,6.8,8.05,893.8499999999999,0.15
91,VALENCIA,95218.0,1,0.3,13.55714285714286,5.3,978.8166666666668,4.825
94,ZARAGOZA,95603.0,1,5.32,8.78,3.44,955.3875,3.625
98,ALMERIA,105846.0,1,0.3,14.65,7.4,980.325,7.2
103,BIZKAIA,21479.0,1,14.1,11.3,6.175,989.75,1.3
104,BURGOS,158925.0,1,0.86,6.025,5.425,910.5,1.875
111,HUESCA,47525.0,1,5.775,3.825,2.275,905.8333333333333,1.9666666666666668
113,LA RIOJA,53021.0,1,0.0,7.6,6.7,962.4,2.1
114,LEON,46127.0,1,0.6333333333333333,4.15,6.525,892.4875,3.5
120,OURENSE,38391.0,1,5.166666666666667,8.366666666666667,2.6666666666666665,950.35,3.35
124,SEGOVIA,101724.0,1,2.85,3.35,9.2,852.875,0.5
125,SORIA,97029.0,1,1.6,5.0,6.7,883.2,2.1
137,ASTURIAS,17605.0,1,20.327272727272728,9.872727272727271,5.222222222222222,969.81875,0.0999999999999999
139,BARCELONA,106601.0,1,0.0333333333333333,9.966666666666669,4.066666666666666,977.6166666666666,5.366666666666667
152,MADRID,39911.0,1,5.246153846153846,5.8500000000000005,6.7,905.79,0.0333333333333333
156,PONTEVEDRA,50178.0,1,19.85,11.05,6.0,988.35,0.1
168,BARCELONA,59031.0,1,0.0,11.4,4.4,976.7333333333333,7.2
174,ILLES BALEARS,78795.0,1,0.2,12.64,4.720000000000001,1004.3583333333333,7.800000000000001
183,PONTEVEDRA,16061.0,1,22.9,10.35,1.95,991.15,0.2
236,PONTEVEDRA,1414.0,1,50.25,10.8,4.199999999999999,995.575,1.85
237,A CORUNA,22625.0,1,21.8125,12.4625,8.200000000000001,986.8199999999999,0.6
243,A CORUNA,70808.0,1,26.725,11.975,6.433333333333334,979.61,0.52
253,PONTEVEDRA,39534.0,1,7.550000000000001,11.6,7.25,987.675,0.55
254,A CORUNA,139603.0,1,2.2,9.025,2.3857142857142857,988.5899999999999,4.65
255,ASTURIAS,31274.0,1,3.03,14.2,5.277777777777778,968.36875,4.785714285714286
258,GIPUZKOA,47087.0,1,0.0,19.133333333333333,7.783333333333334,988.91,1.7
260,LUGO,46389.0,1,33.6,10.4,4.2,950.1,0.1
262,OURENSE,4558.0,1,34.525000000000006,9.725,3.375,947.175,0.1
264,PONTEVEDRA,138335.0,1,51.2,11.4,5.800000000000001,980.4,0.0
268,GIPUZKOA,8774.0,1,30.816666666666663,13.283333333333331,6.183333333333334,988.7,1.7666666666666666
276,BARCELONA,80702.0,1,1.5833333333333333,23.35,4.18,983.9333333333334,1.5
277,LEON,105756.0,1,19.5,13.3,2.4000000000000004,902.05,1.4
279,LLEIDA,61265.0,1,2.2,25.5,1.6666666666666667,957.05,11.7
282,A CORUNA,181.0,1,31.6,16.5125,9.35,989.21,0.5
288,LUGO,1080.0,1,35.6,17.0,4.4,958.45,0.0
293,ALMERIA,25175.0,1,4.15,19.3,2.5,971.1500000000001,7.8
297,TARRAGONA,45140.0,1,75.05,11.0,3.35,1003.8,0.65
299,BIZKAIA,726.0,1,27.5,7.3,8.325000000000001,993.4833333333333,0.4
308,BIZKAIA,488.0,1,33.125,10.633333333333333,7.175,1005.25,0.6
309,CANTABRIA,664.0,1,27.95,9.433333333333334,5.88,994.9200000000001,1.1333333333333335
330,BIZKAIA,1483.0,1,27.5,6.6000000000000005,6.425,999.0333333333333,0.3
331,GIPUZKOA,4923.0,1,29.64,6.233333333333333,5.216666666666667,992.1700000000001,0.2333333333333333
334,ASTURIAS,30424.0,1,4.1,11.39090909090909,6.577777777777778,984.2625,1.1428571428571428
335,BIZKAIA,10730.0,1,39.275,10.266666666666666,9.775,1001.8333333333334,0.0
336,GIPUZKOA,17402.0,1,81.64,9.133333333333333,4.9,994.9,0.0
339,BIZKAIA,37885.0,1,14.8625,11.7,6.487500000000001,1007.0,0.0
