,provincia,SCRI
0,A CORUNA,1.2926829268292683
1,ALBACETE,1.3333333333333333
2,ALICANTE,1.6428571428571428
3,ALMERIA,1.0
4,ARABA,1.0
5,ASTURIAS,1.105263157894737
6,AVILA,1.1666666666666667
7,BADAJOZ,1.0
8,BARCELONA,1.382716049382716
9,BIZKAIA,1.3333333333333333
10,BURGOS,1.0869565217391304
11,CACERES,1.0
12,CADIZ,1.0454545454545454
13,CANTABRIA,1.1428571428571428
14,CASTELLON,1.375
15,CEUTA,1.0
16,CIUDAD REAL,1.0
17,CORDOBA,1.1
18,CUENCA,1.0
19,GIPUZKOA,1.0
20,GIRONA,1.3396226415094339
21,GRANADA,1.1
22,GUADALAJARA,1.1333333333333333
23,HUELVA,1.0
24,HUESCA,1.0
25,ILLES BALEARS,1.1428571428571428
26,JAEN,1.0
27,LA RIOJA,1.0
28,LAS PALMAS,1.0
29,LEON,1.0
30,LLEIDA,1.0909090909090908
31,LUGO,1.0
32,MADRID,1.1267605633802817
33,MALAGA,1.1764705882352942
34,MURCIA,1.0909090909090908
35,NAVARRA,1.1428571428571428
36,OURENSE,1.0
37,PALENCIA,1.0
38,PONTEVEDRA,1.1111111111111112
39,SALAMANCA,1.2222222222222223
40,SANTA CRUZ DE TENERIFE,1.0
41,SEGOVIA,1.0
42,SEVILLA,1.1176470588235294
43,SORIA,1.0
44,TARRAGONA,1.1481481481481481
45,TERUEL,1.0
46,TOLEDO,1.0
47,VALENCIA,1.5769230769230769
48,VALLADOLID,1.0
49,ZAMORA,1.0
50,ZARAGOZA,1.16
