,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
63,ALICANTE,2204997.0,1,42.66666666666666,8.3,4.533333333333333,1010.325,2.1
66,BARCELONA,1199393.0,1,42.6,7.566666666666666,10.183333333333334,996.4166666666667,0.6
68,CASTELLON,1291865.0,1,59.15,3.866666666666667,6.55,955.025,0.0
82,VALENCIA,2760439.0,1,73.77142857142857,6.471428571428571,8.266666666666667,984.2,0.125
89,CASTELLON,3663635.0,1,38.3,7.3,5.4,951.1500000000001,0.0
91,ILLES BALEARS,1832540.0,1,7.611111111111111,11.711111111111112,8.744444444444445,1014.4200000000001,0.56
100,TARRAGONA,2717539.0,1,91.45,9.166666666666666,8.133333333333333,1013.95,0.0
102,VALENCIA,2311985.0,1,27.457142857142856,9.228571428571428,3.3,981.35,0.2
104,ALICANTE,1336687.0,1,1.5666666666666664,10.183333333333334,2.1166666666666667,1012.2625,3.825
115,TARRAGONA,1083226.0,1,22.95,10.2,4.449999999999999,1012.25,1.05
122,GIRONA,1723993.0,1,15.2,5.2,2.433333333333333,830.9,0.0
127,MALAGA,1221762.0,1,23.366666666666664,11.45,5.283333333333333,1006.86,0.0
136,GIRONA,1852648.0,1,0.0333333333333333,4.766666666666667,1.5499999999999998,831.55,6.4
139,MALAGA,1438706.0,1,41.03333333333333,12.239999999999998,3.72,1010.0749999999999,0.05
246,CADIZ,1885247.0,1,4.733333333333333,15.683333333333332,4.866666666666666,1001.3833333333334,8.2
252,CASTELLON,1868681.0,1,74.025,5.1,3.4333333333333336,944.775,0.1
616,MADRID,1108063.0,1,0.2055555555555555,24.35277777777778,2.299305555555556,908.6326388888888,11.08
868,ALBACETE,1493892.0,1,11.075,11.95,5.35,937.35,0.0
883,CASTELLON,1145469.0,1,47.63333333333333,10.4,3.9,956.8,0.0
886,MALAGA,1063974.0,1,8.36,18.425,4.5600000000000005,999.0625,1.85
899,VALENCIA,1332857.0,1,10.566666666666668,17.583333333333332,4.22,984.9166666666667,0.375
