,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
56,BARCELONA,2748005.0,1,0.0333333333333333,9.1,7.399999999999999,992.8833333333334,0.6333333333333333
80,BARCELONA,7781457.0,1,42.6,7.566666666666666,10.183333333333334,996.4166666666667,0.6
98,VALENCIA,3380346.0,1,73.77142857142857,6.471428571428571,8.266666666666667,984.2,0.125
108,GIRONA,2387917.0,1,30.6,-1.6,2.5,835.0,0.0
128,BARCELONA,3017110.0,1,16.0,10.95,4.533333333333333,992.8333333333335,0.0
201,BIZKAIA,10877785.0,1,8.025,10.8,5.220000000000001,1013.6166666666666,0.0
425,CUENCA,3152669.0,1,0.3,26.275,3.233333333333333,918.5625,2.0
427,ILLES BALEARS,3152102.0,1,20.322222222222223,22.41111111111111,4.855555555555556,1000.24,3.9
