,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
0,BIZKAIA,777.0,1,4.4,13.85,6.05,1015.0666666666667,5.7
1,LUGO,573.0,1,5.2,8.8,3.6,973.15,0.8
2,A CORUNA,18974.0,1,7.708333333333333,12.391666666666666,8.791666666666668,1004.2083333333334,2.583333333333333
3,ASTURIAS,9412.0,1,0.35,10.25,2.775,1003.1583333333332,4.266666666666667
4,BIZKAIA,5509.0,1,0.0,10.35,3.975,1014.5,2.4
5,LUGO,4073.0,1,0.0,8.6,4.7,969.0,3.4
6,OURENSE,568.0,1,0.0,5.225,1.925,965.95,5.6
7,PONTEVEDRA,730.0,1,0.75,8.05,5.4,1000.925,0.2
8,SEVILLA,1270.0,1,0.0,8.0,1.34,998.4000000000001,8.9
9,A CORUNA,305.0,1,2.333333333333333,12.1,3.0500000000000003,1002.3,6.733333333333333
10,ASTURIAS,13326.0,1,2.025,12.425,3.775,994.8583333333333,3.466666666666667
11,BIZKAIA,27016.0,1,0.0,13.75,6.65,1007.4833333333333,3.7
12,BURGOS,2745.0,1,0.0,4.640000000000001,3.5250000000000004,923.8,1.775
13,CANTABRIA,873.0,1,0.3142857142857143,12.214285714285714,7.385714285714286,989.74,4.6000000000000005
14,LEON,838.0,1,3.15,3.875,3.475,903.625,0.7000000000000001
15,LUGO,24314.0,1,21.4,11.6,5.8,961.05,0.9
16,PONTEVEDRA,145.0,1,21.6,12.05,6.5,992.925,1.25
17,A CORUNA,3077.0,1,57.15,12.316666666666668,6.9,1006.5999999999999,0.0333333333333333
18,ASTURIAS,160.0,1,2.8875,10.4625,3.7625,998.125,1.2833333333333334
19,BIZKAIA,8087.0,1,0.0666666666666666,12.875,3.2,1010.85,3.2
20,BURGOS,194.0,1,0.04,7.2,3.5250000000000004,925.4124999999999,0.5
21,CANTABRIA,65.0,1,0.2285714285714286,11.757142857142856,4.6571428571428575,992.98,0.7333333333333334
22,LUGO,6979.0,1,1.0,10.6,1.7,962.2,3.7
23,PONTEVEDRA,496.0,1,6.699999999999999,12.0,2.65,993.225,6.75
24,BIZKAIA,2581.0,1,3.6666666666666665,15.775,3.675,1012.5333333333334,2.2
25,BURGOS,249.0,1,0.8400000000000001,8.72,3.7,926.9124999999999,2.475
26,CANTABRIA,1361.0,1,3.6142857142857134,13.44285714285714,6.1000000000000005,994.6,0.1333333333333333
27,LUGO,6932.0,1,21.6,10.6,4.4,965.95,0.0
28,OURENSE,202.0,1,9.675,10.475,3.325,961.575,0.8
29,PONTEVEDRA,24635.0,1,40.1,11.7,5.7,996.675,0.0
31,ALICANTE,29305.0,1,0.1333333333333333,11.433333333333332,1.7666666666666668,1021.225,3.2
32,ASTURIAS,432.0,1,13.15,9.5125,3.2875,1005.3083333333333,2.983333333333333
33,AVILA,6193.0,1,4.0,6.55,4.2,873.9250000000001,3.9
35,BIZKAIA,1662.0,1,13.766666666666667,11.525,4.525,1016.3666666666667,5.4
36,BURGOS,54837.0,1,7.3,4.76,3.75,927.15,0.25
37,CACERES,13230.0,1,3.4,10.42,2.76,984.75,0.4666666666666666
38,CANTABRIA,320.0,1,6.771428571428571,10.44285714285714,4.557142857142857,998.42,4.133333333333334
39,GIRONA,3707.0,1,0.0,3.9333333333333336,1.0,833.35,4.7
40,ILLES BALEARS,28888.0,1,1.011111111111111,9.88888888888889,2.1333333333333333,1022.25,3.6
41,LEON,17228.0,1,3.525,4.75,3.625,908.7750000000001,0.7666666666666666
42,LLEIDA,37.0,1,3.5,4.75,1.6333333333333335,965.675,4.949999999999999
43,LUGO,6051.0,1,15.2,8.5,3.3,970.35,1.0
44,MURCIA,5322.0,1,0.6222222222222222,10.4,2.0,993.8299999999999,1.2
45,OURENSE,1073.0,1,8.925,9.65,3.625,966.125,2.7
